Dzien Miesiac Rok Godzina Minuta Sekunda Calkowite_CNR[mV] Odbite_CNR[mV] Dl_atmosfery_CNR[mV] Dl_ziemi_CNR[mV] Temperatura
24 10 2019 0 22 12 -0.07370 0.02440 -0.43650 -0.08490 11.81600 
24 10 2019 0 22 29 -0.07630 0.02140 -0.43010 -0.08390 11.80100 
24 10 2019 0 22 47 -0.07450 0.01830 -0.42600 -0.08210 11.79600 
24 10 2019 0 23 5 -0.07560 0.01840 -0.42100 -0.07780 11.80000 
24 10 2019 0 23 23 -0.06950 0.02350 -0.42170 -0.07450 11.80000 
24 10 2019 0 23 40 -0.06510 0.02900 -0.42630 -0.07710 11.80300 
24 10 2019 0 23 58 -0.06240 0.03070 -0.42580 -0.07770 11.80300 
24 10 2019 0 24 16 -0.06060 0.03170 -0.42890 -0.07980 11.79900 
24 10 2019 0 24 34 -0.06210 0.03220 -0.43390 -0.08280 11.79500 
24 10 2019 0 24 52 -0.06380 0.03190 -0.43590 -0.08540 11.79200 
24 10 2019 0 25 9 -0.06470 0.03060 -0.43660 -0.08780 11.78500 
24 10 2019 0 25 27 -0.06690 0.02720 -0.43750 -0.08900 11.77500 
24 10 2019 0 25 45 -0.06950 0.02440 -0.43650 -0.08900 11.75200 
24 10 2019 0 26 3 -0.07250 0.02080 -0.43240 -0.08750 11.73500 
24 10 2019 0 26 21 -0.07310 0.01810 -0.43360 -0.08740 11.72700 
24 10 2019 0 26 38 -0.07390 0.01630 -0.43450 -0.08800 11.71400 
24 10 2019 0 26 56 -0.07540 0.01410 -0.43170 -0.08760 11.68900 
24 10 2019 0 27 14 -0.07730 0.01280 -0.42730 -0.08640 11.68100 
24 10 2019 0 27 32 -0.07860 0.01340 -0.42390 -0.08120 11.67600 
24 10 2019 0 27 49 -0.07550 0.01700 -0.42450 -0.08040 11.67900 
24 10 2019 0 28 7 -0.07000 0.01990 -0.42410 -0.07930 11.68400 
24 10 2019 0 28 25 -0.06460 0.02350 -0.42520 -0.07950 11.68100 
24 10 2019 0 28 43 -0.06000 0.02530 -0.42240 -0.08040 11.68400 
24 10 2019 0 29 1 -0.05730 0.02360 -0.42100 -0.07840 11.67900 
24 10 2019 0 29 18 -0.05720 0.02420 -0.42230 -0.07720 11.69000 
24 10 2019 0 29 36 -0.05430 0.02620 -0.42610 -0.07930 11.68100 
24 10 2019 0 29 54 -0.05420 0.02540 -0.42480 -0.07830 11.68100 
24 10 2019 0 30 12 -0.05520 0.02670 -0.42630 -0.08160 11.68200 
24 10 2019 0 30 30 -0.05660 0.02460 -0.42580 -0.08300 11.67800 
24 10 2019 0 30 47 -0.05620 0.02230 -0.42330 -0.08070 11.67400 
24 10 2019 0 31 5 -0.05490 0.02250 -0.42320 -0.07860 11.67600 
24 10 2019 0 31 23 -0.05170 0.02340 -0.42450 -0.07970 11.67700 
24 10 2019 0 31 41 -0.05050 0.02350 -0.42320 -0.08110 11.68000 
24 10 2019 0 31 59 -0.04840 0.02360 -0.42250 -0.08220 11.67700 
24 10 2019 0 32 16 -0.04950 0.02200 -0.42160 -0.08260 11.67800 
24 10 2019 0 32 34 -0.04960 0.02030 -0.42140 -0.08060 11.67800 
24 10 2019 0 32 52 -0.04910 0.01850 -0.42060 -0.07490 11.68300 
24 10 2019 0 33 10 -0.04660 0.02470 -0.41810 -0.07250 11.68800 
24 10 2019 0 33 27 -0.04700 0.02750 -0.42050 -0.07210 11.70700 
24 10 2019 0 33 45 -0.04840 0.03300 -0.42980 -0.08250 11.70300 
24 10 2019 0 34 3 -0.05380 0.03030 -0.42490 -0.08420 11.69700 
24 10 2019 0 34 21 -0.06080 0.02470 -0.42070 -0.07570 11.71300 
24 10 2019 0 34 39 -0.05740 0.02910 -0.42720 -0.07680 11.71900 
24 10 2019 0 34 56 -0.05950 0.03090 -0.42210 -0.06780 11.72900 
24 10 2019 0 35 14 -0.05620 0.03340 -0.42670 -0.07210 11.73800 
24 10 2019 0 35 32 -0.05520 0.03630 -0.43220 -0.07560 11.74600 
24 10 2019 0 35 50 -0.05650 0.03610 -0.43240 -0.07940 11.73900 
24 10 2019 0 36 8 -0.05990 0.03180 -0.42890 -0.07920 11.72700 
